Species,Region,Licences,Days,Tonnes
Amberjack,Mapstone - Townsville,6,6,0.31
Bait fish,Mapstone - Townsville,7,13,0.4
Barramundi,Mapstone - Townsville,N/A,N/A,N/A
Bream - black (luderick),Mapstone - Townsville,N/A,N/A,N/A
Bream - bony (herring),Mapstone - Townsville,N/A,N/A,N/A
Bug - honey,Mapstone - Townsville,11,14,0.64
Bugs - Balmain,Mapstone - Townsville,201,6060,172
Bugs - moreton bay,Mapstone - Townsville,621,238632,"6,485.15"
Bugs - unspecified,Mapstone - Townsville,166,4952,98.75
Butterflybream -  unspecified,Mapstone - Townsville,135,7519,89.87
Cod - unspecified,Mapstone - Townsville,28,66,0.8
Coral trout,Mapstone - Townsville,99,1004,28.98
Crab - blue swimmer,Mapstone - Townsville,307,27557,97.59
Crab - coral,Mapstone - Townsville,N/A,N/A,N/A
Crab - Mud,Mapstone - Townsville,40,252,6.02
Crab - spanner,Mapstone - Townsville,N/A,N/A,N/A
Crab - three spot,Mapstone - Townsville,58,511,2.45
Crab - unspecified,Mapstone - Townsville,255,8701,71.15
Cuttlefish,Mapstone - Townsville,271,23665,82.91
Emperor - red,Mapstone - Townsville,27,83,2.85
Emperor - red throat,Mapstone - Townsville,13,142,2.76
Emperor - spangled,Mapstone - Townsville,10,81,1.21
Fish - mixed reef,Mapstone - Townsville,5,5,0.32
Fish - mixed reef a,Mapstone - Townsville,30,216,2.55
Fish - mixed reef b,Mapstone - Townsville,N/A,N/A,N/A
Fish - unspecified,Mapstone - Townsville,132,1657,37.57
Flathead - unspecified,Mapstone - Townsville,7,104,0.31
Flounder - unspecified,Mapstone - Townsville,N/A,N/A,N/A
Garfish - unspecified,Mapstone - Townsville,N/A,N/A,N/A
Goat fish,Mapstone - Townsville,22,220,2.51
Grinners,Mapstone - Townsville,N/A,N/A,N/A
Grunter - unspecified,Mapstone - Townsville,N/A,N/A,N/A
Herring - wolf,Mapstone - Townsville,N/A,N/A,N/A
Jew fish - mulloway,Mapstone - Townsville,13,42,0.59
Jew fish - silver,Mapstone - Townsville,N/A,N/A,N/A
Jew fish - unspecified,Mapstone - Townsville,6,8,0.28
Jobfish - rosy,Mapstone - Townsville,N/A,N/A,N/A
Jobfish - unspecified,Mapstone - Townsville,N/A,N/A,N/A
Kingfish - black,Mapstone - Townsville,8,8,0.14
Leather jacket/triggerfish,Mapstone - Townsville,N/A,N/A,N/A
Lobster - champagne (red),Mapstone - Townsville,61,1386,328.25
Lobster - cray tails,Mapstone - Townsville,N/A,N/A,N/A
Lobster - slipper,Mapstone - Townsville,19,58,1.63
Lobster - tropical rock,Mapstone - Townsville,N/A,N/A,N/A
Lobster - unspecified,Mapstone - Townsville,34,504,117.36
Mackerel - grey,Mapstone - Townsville,13,96,1.97
Mackerel - shark,Mapstone - Townsville,N/A,N/A,N/A
Mackerel - spanish,Mapstone - Townsville,19,235,9.42
Mackerel - spotted,Mapstone - Townsville,N/A,N/A,N/A
Mackerel - unspecified,Mapstone - Townsville,36,152,5.42
Mangrove jack,Mapstone - Townsville,N/A,N/A,N/A
Mantis shrimp - unspecified,Mapstone - Townsville,57,471,2.83
Mullet - fantail/silver,Mapstone - Townsville,N/A,N/A,N/A
Mullet - tiger / flat tail,Mapstone - Townsville,N/A,N/A,N/A
Mullet - unspecified,Mapstone - Townsville,N/A,N/A,N/A
Nannygai - large mouth,Mapstone - Townsville,20,79,1.92
Nannygai - small mouth,Mapstone - Townsville,N/A,N/A,N/A
Nannygai - unspecified,Mapstone - Townsville,14,28,1.34
Octopus - unspecified,Mapstone - Townsville,212,8701,22.46
Pilchard/sardine - unspecified,Mapstone - Townsville,N/A,N/A,N/A
Pink fish,Mapstone - Townsville,N/A,N/A,N/A
Pipehorse - dunkers,Mapstone - Townsville,118,9595,1.9
Pipehorse - pallid,Mapstone - Townsville,122,7400,1.84
Pomfret - unspecified,Mapstone - Townsville,N/A,N/A,N/A
Prawn -  red spot & blue leg k,Mapstone - Townsville,245,12924,916.25
Prawn - banana,Mapstone - Townsville,559,39135,"4,866.99"
Prawn - bay,Mapstone - Townsville,200,1697,47.11
Prawn - blue leg king,Mapstone - Townsville,182,15752,420.43
Prawn - clicker,Mapstone - Townsville,N/A,N/A,N/A
Prawn - coral,Mapstone - Townsville,382,26082,575.52
Prawn - eastern king,Mapstone - Townsville,204,3311,164.92
Prawn - endeavour,Mapstone - Townsville,618,156486,"2,988.85"
Prawn - greasy,Mapstone - Townsville,25,77,5.5
Prawn - japanese king,Mapstone - Townsville,N/A,N/A,N/A
Prawn - king,Mapstone - Townsville,573,101439,"5,503"
Prawn - leader,Mapstone - Townsville,227,7794,167.54
Prawn - mixed bait,Mapstone - Townsville,18,56,1.6
Prawn - red,Mapstone - Townsville,12,15,0.28
Prawn - red spot king,Mapstone - Townsville,280,52461,"3,258.67"
Prawn - royal red,Mapstone - Townsville,N/A,N/A,N/A
Prawn - scarlet,Mapstone - Townsville,N/A,N/A,N/A
Prawn - school,Mapstone - Townsville,20,61,3.47
Prawn - tiger,Mapstone - Townsville,644,173403,"11,960.57"
Prawn - unspecified,Mapstone - Townsville,242,5051,112.18
Queenfish - unspecified,Mapstone - Townsville,N/A,N/A,N/A
Queensland halibut,Mapstone - Townsville,N/A,N/A,N/A
Ray - eastern fiddler,Mapstone - Townsville,N/A,N/A,N/A
Ray - sting unspecified,Mapstone - Townsville,N/A,N/A,N/A
Scallop - mud,Mapstone - Townsville,291,9765,978.1
Scallop - queen,Mapstone - Townsville,N/A,N/A,N/A
Scallop - saucer,Mapstone - Townsville,424,39783,"1,081.47"
Scallop - unspecified,Mapstone - Townsville,89,1541,24.98
Seabream - Collar,Mapstone - Townsville,N/A,N/A,N/A
Seahorse - unspecified,Mapstone - Townsville,N/A,N/A,N/A
Shark - fins unspecified,Mapstone - Townsville,8,39,0.07
Shark - unspecified,Mapstone - Townsville,127,2182,72.99
Shark - wobbegong,Mapstone - Townsville,N/A,N/A,N/A
Snapper - unspecified tropical,Mapstone - Townsville,N/A,N/A,N/A
Snapper (squire),Mapstone - Townsville,N/A,N/A,N/A
Squid - unspecified,Mapstone - Townsville,460,33251,138.23
Surf red fish,Mapstone - Townsville,N/A,N/A,N/A
Sweetlip - unspecified,Mapstone - Townsville,19,75,2.85
Threadfin - blue,Mapstone - Townsville,N/A,N/A,N/A
Threadfin - king,Mapstone - Townsville,N/A,N/A,N/A
Threadfin bream,Mapstone - Townsville,N/A,N/A,N/A
Trevally - black,Mapstone - Townsville,5,25,0.15
Trevally - unspecified,Mapstone - Townsville,14,24,0.79
Tuna - albacore,Mapstone - Townsville,N/A,N/A,N/A
Tuna - skipjack,Mapstone - Townsville,N/A,N/A,N/A
Tuna - unspecified,Mapstone - Townsville,N/A,N/A,N/A
Tusk fish - unspecified,Mapstone - Townsville,N/A,N/A,N/A
Unknown,Mapstone - Townsville,87,3685,228.02
Whiptail - false,Mapstone - Townsville,5,67,0.81
Whiting - stout,Mapstone - Townsville,8,35,10.49
Whiting - trumpeter,Mapstone - Townsville,14,65,0.32
Whiting - unspecified,Mapstone - Townsville,78,457,6.42
Wrasse - unspecified,Mapstone - Townsville,N/A,N/A,N/A
Amberjack,Mapstone - The swains,N/A,N/A,N/A
Bream - unspecified,Mapstone - The swains,N/A,N/A,N/A
Bug - honey,Mapstone - The swains,7,9,0.03
Bugs - Balmain,Mapstone - The swains,76,8545,23.58
Bugs - moreton bay,Mapstone - The swains,207,6157,148.07
Bugs - unspecified,Mapstone - The swains,22,269,4.84
Butter fish - striped,Mapstone - The swains,N/A,N/A,N/A
Butterflybream -  unspecified,Mapstone - The swains,21,129,3.57
Cod - bar,Mapstone - The swains,N/A,N/A,N/A
Cod - greasy,Mapstone - The swains,N/A,N/A,N/A
Cod - maori,Mapstone - The swains,N/A,N/A,N/A
Cod - unspecified,Mapstone - The swains,N/A,N/A,N/A
